site_name,location,date,time,count
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,18:00:00,2608
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,19:00:00,2464
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,20:00:00,2011
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,21:00:00,1548
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,22:00:00,1174
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,23:00:00,860
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,00:00:00,501
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,01:00:00,283
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,02:00:00,180
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,03:00:00,299
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,04:00:00,659
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,05:00:00,1083
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,06:00:00,2372
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,07:00:00,2439
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,08:00:00,2481
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,09:00:00,2452
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,10:00:00,2376
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,11:00:00,2421
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,12:00:00,2433
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,13:00:00,2744
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,14:00:00,2733
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,15:00:00,2831
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,16:00:00,2876
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,17:00:00,2557
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,18:00:00,2534
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,19:00:00,2376
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,20:00:00,1943
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,21:00:00,1517
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,22:00:00,1348
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-10,23:00:00,1135
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,00:00:00,699
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,01:00:00,452
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,02:00:00,335
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,03:00:00,387
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,04:00:00,721
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,05:00:00,850
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,06:00:00,980
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,07:00:00,1347
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,08:00:00,1887
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,09:00:00,2374
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,10:00:00,2365
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,11:00:00,2463
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,12:00:00,2617
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,13:00:00,2509
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,14:00:00,2543
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,15:00:00,2440
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,16:00:00,2607
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,17:00:00,2392
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,18:00:00,2213
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,19:00:00,1847
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,20:00:00,1457
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,21:00:00,1091
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,22:00:00,1143
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-11,23:00:00,1058
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-12,00:00:00,679
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-12,01:00:00,481
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-12,02:00:00,432
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-12,03:00:00,441
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-12,04:00:00,595
