,date,time,tempC
626,2020-01-27,200,5
627,2020-01-27,300,5
628,2020-01-27,400,5
629,2020-01-27,500,4
630,2020-01-27,600,4
631,2020-01-27,700,3
632,2020-01-27,800,3
633,2020-01-27,900,3
634,2020-01-27,1000,4
635,2020-01-27,1100,5
636,2020-01-27,1200,6
637,2020-01-27,1300,6
638,2020-01-27,1400,6
639,2020-01-27,1500,6
640,2020-01-27,1600,6
641,2020-01-27,1700,5
642,2020-01-27,1800,4
643,2020-01-27,1900,4
644,2020-01-27,2000,3
645,2020-01-27,2100,2
646,2020-01-27,2200,2
647,2020-01-27,2300,2
648,2020-01-28,0,2
649,2020-01-28,100,2
650,2020-01-28,200,2
651,2020-01-28,300,3
652,2020-01-28,400,3
653,2020-01-28,500,3
654,2020-01-28,600,4
655,2020-01-28,700,4
656,2020-01-28,800,4
657,2020-01-28,900,4
658,2020-01-28,1000,4
659,2020-01-28,1100,3
660,2020-01-28,1200,3
661,2020-01-28,1300,4
662,2020-01-28,1400,5
663,2020-01-28,1500,6
664,2020-01-28,1600,5
665,2020-01-28,1700,5
666,2020-01-28,1800,4
667,2020-01-28,1900,4
668,2020-01-28,2000,3
669,2020-01-28,2100,3
670,2020-01-28,2200,3
671,2020-01-28,2300,3
672,2020-01-29,0,3
673,2020-01-29,100,3
674,2020-01-29,200,3
675,2020-01-29,300,4
676,2020-01-29,400,4
677,2020-01-29,500,4
678,2020-01-29,600,4
679,2020-01-29,700,4
680,2020-01-29,800,5
681,2020-01-29,900,5
682,2020-01-29,1000,6
683,2020-01-29,1100,7
684,2020-01-29,1200,8
685,2020-01-29,1300,8
686,2020-01-29,1400,8
687,2020-01-29,1500,9
688,2020-01-29,1600,8
689,2020-01-29,1700,8
690,2020-01-29,1800,8
691,2020-01-29,1900,8
692,2020-01-29,2000,8
693,2020-01-29,2100,7
694,2020-01-29,2200,7
695,2020-01-29,2300,7
696,2020-01-30,0,7
697,2020-01-30,100,7
698,2020-01-30,200,6
699,2020-01-30,300,6
700,2020-01-30,400,7
701,2020-01-30,500,8
702,2020-01-30,600,9
703,2020-01-30,700,9
704,2020-01-30,800,9
705,2020-01-30,900,10
706,2020-01-30,1000,10
707,2020-01-30,1100,11
708,2020-01-30,1200,12
709,2020-01-30,1300,12
710,2020-01-30,1400,11
711,2020-01-30,1500,11
712,2020-01-30,1600,10
713,2020-01-30,1700,9
714,2020-01-30,1800,8
715,2020-01-30,1900,8
716,2020-01-30,2000,8
717,2020-01-30,2100,8
718,2020-01-30,2200,8
719,2020-01-30,2300,8
720,2020-01-31,0,9
721,2020-01-31,100,9
722,2020-01-31,200,10
723,2020-01-31,300,10
724,2020-01-31,400,11
725,2020-01-31,500,11
726,2020-01-31,600,11
727,2020-01-31,700,11
728,2020-01-31,800,11
729,2020-01-31,900,12
730,2020-01-31,1000,12
731,2020-01-31,1100,12
732,2020-01-31,1200,13
733,2020-01-31,1300,13
734,2020-01-31,1400,12
735,2020-01-31,1500,12
736,2020-01-31,1600,12
737,2020-01-31,1700,11
738,2020-01-31,1800,11
739,2020-01-31,1900,10
740,2020-01-31,2000,10
741,2020-01-31,2100,10
742,2020-01-31,2200,9
743,2020-01-31,2300,9
744,2020-02-01,0,8
745,2020-02-01,100,8
746,2020-02-01,200,8
747,2020-02-01,300,8
748,2020-02-01,400,8
749,2020-02-01,500,8
750,2020-02-01,600,8
751,2020-02-01,700,8
752,2020-02-01,800,8
753,2020-02-01,900,8
754,2020-02-01,1000,8
755,2020-02-01,1100,8
756,2020-02-01,1200,9
757,2020-02-01,1300,9
758,2020-02-01,1400,10
759,2020-02-01,1500,10
760,2020-02-01,1600,9
761,2020-02-01,1700,9
762,2020-02-01,1800,8
763,2020-02-01,1900,7
764,2020-02-01,2000,7
765,2020-02-01,2100,6
766,2020-02-01,2200,6
767,2020-02-01,2300,6
768,2020-02-02,0,6
769,2020-02-02,100,6
770,2020-02-02,200,6
771,2020-02-02,300,6
772,2020-02-02,400,6
773,2020-02-02,500,7
774,2020-02-02,600,7
775,2020-02-02,700,8
776,2020-02-02,800,9
777,2020-02-02,900,9
778,2020-02-02,1000,10
779,2020-02-02,1100,10
780,2020-02-02,1200,10
781,2020-02-02,1300,10
782,2020-02-02,1400,10
783,2020-02-02,1500,10
784,2020-02-02,1600,9
785,2020-02-02,1700,9
786,2020-02-02,1800,8
787,2020-02-02,1900,7
788,2020-02-02,2000,5
789,2020-02-02,2100,4
790,2020-02-02,2200,5
791,2020-02-02,2300,6
792,2020-02-03,0,7
793,2020-02-03,100,7
794,2020-02-03,200,7
795,2020-02-03,300,7
796,2020-02-03,400,7
797,2020-02-03,500,6
798,2020-02-03,600,6
799,2020-02-03,700,6
800,2020-02-03,800,6
801,2020-02-03,900,6
802,2020-02-03,1000,6
803,2020-02-03,1100,6
804,2020-02-03,1200,7
805,2020-02-03,1300,7
806,2020-02-03,1400,7
807,2020-02-03,1500,7
808,2020-02-03,1600,7
809,2020-02-03,1700,6
810,2020-02-03,1800,5
811,2020-02-03,1900,5
812,2020-02-03,2000,5
813,2020-02-03,2100,5
814,2020-02-03,2200,5
815,2020-02-03,2300,5
816,2020-02-04,0,5
817,2020-02-04,100,5
818,2020-02-04,200,5
819,2020-02-04,300,5
820,2020-02-04,400,5
821,2020-02-04,500,5
822,2020-02-04,600,5
823,2020-02-04,700,5
824,2020-02-04,800,5
825,2020-02-04,900,5
826,2020-02-04,1000,6
827,2020-02-04,1100,7
828,2020-02-04,1200,8
829,2020-02-04,1300,8
830,2020-02-04,1400,8
831,2020-02-04,1500,8
832,2020-02-04,1600,7
833,2020-02-04,1700,6
834,2020-02-04,1800,5
835,2020-02-04,1900,5
836,2020-02-04,2000,4
837,2020-02-04,2100,4
838,2020-02-04,2200,4
839,2020-02-04,2300,3
840,2020-02-05,0,3
841,2020-02-05,100,3
842,2020-02-05,200,3
843,2020-02-05,300,3
844,2020-02-05,400,3
845,2020-02-05,500,4
846,2020-02-05,600,4
847,2020-02-05,700,4
848,2020-02-05,800,4
849,2020-02-05,900,5
850,2020-02-05,1000,6
851,2020-02-05,1100,7
852,2020-02-05,1200,8
853,2020-02-05,1300,8
854,2020-02-05,1400,8
855,2020-02-05,1500,8
856,2020-02-05,1600,8
857,2020-02-05,1700,7
858,2020-02-05,1800,6
859,2020-02-05,1900,5
860,2020-02-05,2000,5
861,2020-02-05,2100,5
862,2020-02-05,2200,4
863,2020-02-05,2300,4
864,2020-02-06,0,4
865,2020-02-06,100,4
866,2020-02-06,200,4
867,2020-02-06,300,4
868,2020-02-06,400,4
869,2020-02-06,500,4
870,2020-02-06,600,4
871,2020-02-06,700,4
872,2020-02-06,800,4
873,2020-02-06,900,4
874,2020-02-06,1000,5
875,2020-02-06,1100,6
876,2020-02-06,1200,8
877,2020-02-06,1300,8
878,2020-02-06,1400,8
879,2020-02-06,1500,8
880,2020-02-06,1600,7
881,2020-02-06,1700,6
882,2020-02-06,1800,5
883,2020-02-06,1900,4
884,2020-02-06,2000,2
885,2020-02-06,2100,1
886,2020-02-06,2200,3
887,2020-02-06,2300,4
888,2020-02-07,0,6
889,2020-02-07,100,6
890,2020-02-07,200,6
891,2020-02-07,300,6
892,2020-02-07,400,6
893,2020-02-07,500,6
894,2020-02-07,600,6
895,2020-02-07,700,6
896,2020-02-07,800,7
897,2020-02-07,900,7
898,2020-02-07,1000,7
899,2020-02-07,1100,8
900,2020-02-07,1200,8
901,2020-02-07,1300,8
902,2020-02-07,1400,9
903,2020-02-07,1500,9
904,2020-02-07,1600,9
905,2020-02-07,1700,9
906,2020-02-07,1800,9
907,2020-02-07,1900,8
908,2020-02-07,2000,7
909,2020-02-07,2100,7
910,2020-02-07,2200,6
911,2020-02-07,2300,5
912,2020-02-08,0,5
913,2020-02-08,100,5
914,2020-02-08,200,5
915,2020-02-08,300,5
916,2020-02-08,400,5
917,2020-02-08,500,5
918,2020-02-08,600,5
919,2020-02-08,700,5
920,2020-02-08,800,6
921,2020-02-08,900,6
922,2020-02-08,1000,7
923,2020-02-08,1100,8
924,2020-02-08,1200,8
925,2020-02-08,1300,8
926,2020-02-08,1400,8
927,2020-02-08,1500,9
928,2020-02-08,1600,7
929,2020-02-08,1700,6
930,2020-02-08,1800,5
931,2020-02-08,1900,4
932,2020-02-08,2000,3
933,2020-02-08,2100,2
934,2020-02-08,2200,4
935,2020-02-08,2300,7
936,2020-02-09,0,10
937,2020-02-09,100,11
938,2020-02-09,200,12
939,2020-02-09,300,12
940,2020-02-09,400,12
941,2020-02-09,500,12
942,2020-02-09,600,12
943,2020-02-09,700,12
944,2020-02-09,800,12
945,2020-02-09,900,13
946,2020-02-09,1000,12
947,2020-02-09,1100,11
948,2020-02-09,1200,10
949,2020-02-09,1300,10
950,2020-02-09,1400,9
951,2020-02-09,1500,8
952,2020-02-09,1600,8
953,2020-02-09,1700,8
954,2020-02-09,1800,8
955,2020-02-09,1900,7
956,2020-02-09,2000,7
957,2020-02-09,2100,7
958,2020-02-09,2200,6
959,2020-02-09,2300,5
960,2020-02-10,0,5
961,2020-02-10,100,5
962,2020-02-10,200,5
963,2020-02-10,300,5
964,2020-02-10,400,5
965,2020-02-10,500,5
966,2020-02-10,600,5
967,2020-02-10,700,5
968,2020-02-10,800,5
969,2020-02-10,900,5
970,2020-02-10,1000,5
971,2020-02-10,1100,4
972,2020-02-10,1200,3
973,2020-02-10,1300,3
974,2020-02-10,1400,3
975,2020-02-10,1500,4
976,2020-02-10,1600,3
977,2020-02-10,1700,3
978,2020-02-10,1800,3
979,2020-02-10,1900,3
980,2020-02-10,2000,3
981,2020-02-10,2100,3
982,2020-02-10,2200,3
983,2020-02-10,2300,3
984,2020-02-11,0,3
985,2020-02-11,100,4
986,2020-02-11,200,4
987,2020-02-11,300,4
988,2020-02-11,400,4
989,2020-02-11,500,3
990,2020-02-11,600,3
991,2020-02-11,700,3
992,2020-02-11,800,3
993,2020-02-11,900,3
994,2020-02-11,1000,3
995,2020-02-11,1100,4
996,2020-02-11,1200,4
997,2020-02-11,1300,4
998,2020-02-11,1400,4
999,2020-02-11,1500,4
1000,2020-02-11,1600,4
1001,2020-02-11,1700,4
1002,2020-02-11,1800,3
1003,2020-02-11,1900,3
1004,2020-02-11,2000,3
1005,2020-02-11,2100,3
1006,2020-02-11,2200,3
1007,2020-02-11,2300,2
1008,2020-02-12,0,2
1009,2020-02-12,100,3
1010,2020-02-12,200,3
1011,2020-02-12,300,3
1012,2020-02-12,400,3
1013,2020-02-12,500,3
1014,2020-02-12,600,4
1015,2020-02-12,700,3
1016,2020-02-12,800,3
1017,2020-02-12,900,3
1018,2020-02-12,1000,4
1019,2020-02-12,1100,5
1020,2020-02-12,1200,6
1021,2020-02-12,1300,6
1022,2020-02-12,1400,6
1023,2020-02-12,1500,6
1024,2020-02-12,1600,6
1025,2020-02-12,1700,5
