,CountyName,Date,ConfirmedCovidCases
537,Monaghan,20/03/20,0
538,Offaly,20/03/20,0
539,Roscommon,20/03/20,0
540,Sligo,20/03/20,0
541,Tipperary,20/03/20,0
542,Waterford,20/03/20,0
543,Westmeath,20/03/20,0
544,Wexford,20/03/20,0
545,Wicklow,20/03/20,0
546,Carlow,21/03/20,3
547,Cavan,21/03/20,3
548,Clare,21/03/20,9
549,Cork,21/03/20,104
550,Donegal,21/03/20,8
551,Dublin,21/03/20,471
552,Galway,21/03/20,33
553,Kerry,21/03/20,12
554,Kildare,21/03/20,23
555,Kilkenny,21/03/20,15
556,Laois,21/03/20,6
557,Leitrim,21/03/20,3
558,Limerick,21/03/20,18
559,Longford,21/03/20,3
560,Louth,21/03/20,13
561,Mayo,21/03/20,6
562,Meath,21/03/20,13
563,Monaghan,21/03/20,3
564,Offaly,21/03/20,10
565,Roscommon,21/03/20,3
566,Sligo,21/03/20,8
567,Tipperary,21/03/20,20
568,Waterford,21/03/20,9
569,Westmeath,21/03/20,20
570,Wexford,21/03/20,3
571,Wicklow,21/03/20,22
572,Carlow,22/03/20,3
573,Cavan,22/03/20,5
574,Clare,22/03/20,11
575,Cork,22/03/20,123
576,Donegal,22/03/20,11
577,Dublin,22/03/20,535
578,Galway,22/03/20,35
579,Kerry,22/03/20,15
580,Kildare,22/03/20,25
581,Kilkenny,22/03/20,16
582,Laois,22/03/20,8
583,Leitrim,22/03/20,3
584,Limerick,22/03/20,19
585,Longford,22/03/20,3
586,Louth,22/03/20,16
587,Mayo,22/03/20,9
588,Meath,22/03/20,16
589,Monaghan,22/03/20,3
590,Offaly,22/03/20,13
591,Roscommon,22/03/20,3
592,Sligo,22/03/20,8
593,Tipperary,22/03/20,20
594,Waterford,22/03/20,13
595,Westmeath,22/03/20,21
596,Wexford,22/03/20,7
597,Wicklow,22/03/20,28
598,Carlow,23/03/20,3
599,Cavan,23/03/20,5
600,Clare,23/03/20,12
601,Cork,23/03/20,133
602,Donegal,23/03/20,11
603,Dublin,23/03/20,659
604,Galway,23/03/20,40
605,Kerry,23/03/20,33
606,Kildare,23/03/20,34
607,Kilkenny,23/03/20,16
608,Laois,23/03/20,9
609,Leitrim,23/03/20,3
610,Limerick,23/03/20,19
611,Longford,23/03/20,4
612,Louth,23/03/20,18
613,Mayo,23/03/20,9
614,Meath,23/03/20,24
615,Monaghan,23/03/20,3
616,Offaly,23/03/20,13
617,Roscommon,23/03/20,3
618,Sligo,23/03/20,8
619,Tipperary,23/03/20,20
620,Waterford,23/03/20,15
621,Westmeath,23/03/20,25
622,Wexford,23/03/20,7
623,Wicklow,23/03/20,39
624,Carlow,24/03/20,3
625,Cavan,24/03/20,6
626,Clare,24/03/20,25
627,Cork,24/03/20,154
628,Donegal,24/03/20,12
629,Dublin,24/03/20,774
630,Galway,24/03/20,45
631,Kerry,24/03/20,38
632,Kildare,24/03/20,39
633,Kilkenny,24/03/20,19
634,Laois,24/03/20,9
635,Leitrim,24/03/20,3
636,Limerick,24/03/20,24
637,Longford,24/03/20,3
638,Louth,24/03/20,20
639,Mayo,24/03/20,14
640,Meath,24/03/20,27
641,Monaghan,24/03/20,3
642,Offaly,24/03/20,16
643,Roscommon,24/03/20,5
644,Sligo,24/03/20,8
645,Tipperary,24/03/20,27
646,Waterford,24/03/20,22
647,Westmeath,24/03/20,29
648,Wexford,24/03/20,8
649,Wicklow,24/03/20,49
650,Carlow,25/03/20,3
651,Cavan,25/03/20,9
652,Clare,25/03/20,26
653,Cork,25/03/20,171
654,Donegal,25/03/20,15
655,Dublin,25/03/20,922
656,Galway,25/03/20,57
657,Kerry,25/03/20,44
658,Kildare,25/03/20,45
659,Kilkenny,25/03/20,20
660,Laois,25/03/20,10
661,Leitrim,25/03/20,3
